,session_starts,treatment,team,handed_out,passed_by,session_within_session,success_rate,day,person,session
98,4780.0,1,vw,4,21,2,0.1904761904761904,0,w,7.0
99,4900.0,1,vw,1,11,3,0.0909090909090909,0,w,7.0
100,5020.0,1,vw,0,4,4,0.0,0,w,7.0
101,30.0,0,js,2,7,0,0.2857142857142857,1,j,0.0
102,150.0,0,js,3,5,1,0.6,1,j,0.0
103,270.0,0,js,3,4,2,0.75,1,j,0.0
104,390.0,0,js,1,4,3,0.25,1,j,0.0
105,510.0,0,js,3,3,4,1.0,1,j,0.0
106,750.0,1,js,3,4,1,0.75,1,j,1.0
107,870.0,1,js,1,8,2,0.125,1,j,1.0
108,990.0,1,js,1,4,3,0.25,1,j,1.0
109,1110.0,1,js,6,7,4,0.8571428571428571,1,j,1.0
110,1230.0,0,js,1,1,0,1.0,1,j,2.0
111,1350.0,0,js,5,19,1,0.2631578947368421,1,j,2.0
112,1470.0,0,js,1,9,2,0.1111111111111111,1,j,2.0
113,1590.0,0,js,3,21,3,0.14285714285714285,1,j,2.0
114,1710.0,0,js,3,15,4,0.2,1,j,2.0
115,1950.0,1,js,4,14,1,0.2857142857142857,1,j,3.0
116,2070.0,1,js,5,17,2,0.29411764705882354,1,j,3.0
117,2190.0,1,js,4,13,3,0.3076923076923077,1,j,3.0
118,2310.0,1,js,2,15,4,0.13333333333333333,1,j,3.0
119,2430.0,0,js,1,6,0,0.16666666666666666,1,j,4.0
120,2550.0,0,js,1,7,1,0.14285714285714285,1,j,4.0
121,30.0,0,js,3,6,0,0.5,1,s,0.0
122,150.0,0,js,1,3,1,0.3333333333333333,1,s,0.0
123,270.0,0,js,5,8,2,0.625,1,s,0.0
124,390.0,0,js,0,5,3,0.0,1,s,0.0
125,510.0,0,js,2,2,4,1.0,1,s,0.0
126,630.0,1,js,0,1,0,0.0,1,s,1.0
127,750.0,1,js,4,7,1,0.5714285714285714,1,s,1.0
128,870.0,1,js,1,5,2,0.2,1,s,1.0
129,990.0,1,js,3,9,3,0.3333333333333333,1,s,1.0
130,1110.0,1,js,5,8,4,0.625,1,s,1.0
131,1350.0,0,js,4,17,1,0.23529411764705882,1,s,2.0
132,1470.0,0,js,4,18,2,0.2222222222222222,1,s,2.0
133,1590.0,0,js,2,8,3,0.25,1,s,2.0
134,1710.0,0,js,3,27,4,0.1111111111111111,1,s,2.0
135,1950.0,1,js,3,31,1,0.0967741935483871,1,s,3.0
136,2070.0,1,js,2,18,2,0.1111111111111111,1,s,3.0
137,2190.0,1,js,3,23,3,0.13043478260869565,1,s,3.0
138,2310.0,1,js,2,23,4,0.08695652173913043,1,s,3.0
139,2430.0,0,js,2,7,0,0.2857142857142857,1,s,4.0
140,30.0,1,vw,0,1,0,0.0,1,v,0.0
141,150.0,1,vw,1,3,1,0.3333333333333333,1,v,0.0
142,270.0,1,vw,1,2,2,0.5,1,v,0.0
143,390.0,1,vw,0,6,3,0.0,1,v,0.0
144,510.0,1,vw,1,2,4,0.5,1,v,0.0
145,630.0,0,vw,0,1,0,0.0,1,v,1.0
146,750.0,0,vw,0,3,1,0.0,1,v,1.0
147,870.0,0,vw,1,3,2,0.3333333333333333,1,v,1.0
148,990.0,0,vw,1,7,3,0.14285714285714285,1,v,1.0
149,1110.0,0,vw,1,1,4,1.0,1,v,1.0
150,1230.0,1,vw,3,4,0,0.75,1,v,2.0
151,1350.0,1,vw,1,9,1,0.1111111111111111,1,v,2.0
152,1470.0,1,vw,3,11,2,0.2727272727272727,1,v,2.0
153,1590.0,1,vw,1,19,3,0.05263157894736842,1,v,2.0
154,1710.0,1,vw,2,11,4,0.18181818181818182,1,v,2.0
155,1830.0,0,vw,0,12,0,0.0,1,v,3.0
156,1950.0,0,vw,1,17,1,0.058823529411764705,1,v,3.0
157,2070.0,0,vw,4,13,2,0.3076923076923077,1,v,3.0
158,2190.0,0,vw,6,15,3,0.4,1,v,3.0
159,2310.0,0,vw,1,17,4,0.058823529411764705,1,v,3.0
160,30.0,1,vw,3,3,0,1.0,1,w,0.0
161,150.0,1,vw,3,7,1,0.42857142857142855,1,w,0.0
162,270.0,1,vw,3,4,2,0.75,1,w,0.0
163,390.0,1,vw,1,1,3,1.0,1,w,0.0
164,510.0,1,vw,1,5,4,0.2,1,w,0.0
165,630.0,0,vw,0,2,0,0.0,1,w,1.0
166,750.0,0,vw,1,2,1,0.5,1,w,1.0
167,870.0,0,vw,3,9,2,0.3333333333333333,1,w,1.0
168,990.0,0,vw,2,4,3,0.5,1,w,1.0
169,1110.0,0,vw,0,1,4,0.0,1,w,1.0
170,1230.0,1,vw,2,6,0,0.3333333333333333,1,w,2.0
171,1350.0,1,vw,3,7,1,0.42857142857142855,1,w,2.0
172,1590.0,1,vw,4,12,3,0.3333333333333333,1,w,2.0
173,1710.0,1,vw,2,10,4,0.2,1,w,2.0
174,1830.0,0,vw,3,11,0,0.2727272727272727,1,w,3.0
175,1950.0,0,vw,4,7,1,0.5714285714285714,1,w,3.0
176,2070.0,0,vw,6,23,2,0.2608695652173913,1,w,3.0
177,2190.0,0,vw,9,15,3,0.6,1,w,3.0
178,2310.0,0,vw,4,15,4,0.26666666666666666,1,w,3.0
